country_or_region;date;variable;generation_twh
Germany;2020-03-01;Other Fossil;2.2
Germany;2020-03-01;Solar;4.34
Germany;2020-03-01;Wind;14.16
Germany;2020-03-01;Wind and solar;18.5
Germany;2020-04-01;Bioenergy;3.59
Germany;2020-04-01;Clean;25.05
Germany;2020-04-01;Coal;6.09
Germany;2020-04-01;Fossil;13.58
Germany;2020-04-01;Gas;5.63
Germany;2020-04-01;Hydro;1.32
Germany;2020-04-01;Nuclear;4.73
Germany;2020-04-01;Other Fossil;1.86
Germany;2020-04-01;Solar;6.71
Germany;2020-04-01;Wind;8.7
Germany;2020-04-01;Wind and solar;15.41
Germany;2020-05-01;Bioenergy;3.62
Germany;2020-05-01;Clean;23.65
Germany;2020-05-01;Coal;6.24
Germany;2020-05-01;Fossil;14.14
Germany;2020-05-01;Gas;5.94
Germany;2020-05-01;Hydro;1.56
Germany;2020-05-01;Nuclear;4.28
Germany;2020-05-01;Other Fossil;1.96
Germany;2020-05-01;Solar;6.6
Germany;2020-05-01;Wind;7.59
Germany;2020-05-01;Wind and solar;14.19
Germany;2020-06-01;Bioenergy;3.32
Germany;2020-06-01;Clean;22.17
Germany;2020-06-01;Coal;7.66
Germany;2020-06-01;Fossil;16.85
Germany;2020-06-01;Gas;7.38
Germany;2020-06-01;Hydro;1.75
Germany;2020-06-01;Nuclear;4.66
Germany;2020-06-01;Other Fossil;1.81
Germany;2020-06-01;Solar;6.08
Germany;2020-06-01;Wind;6.36
Germany;2020-06-01;Wind and solar;12.44
Germany;2020-07-01;Bioenergy;3.38
Germany;2020-07-01;Clean;23
Germany;2020-07-01;Coal;8.23
Germany;2020-07-01;Fossil;18.28
Germany;2020-07-01;Gas;7.99
Germany;2020-07-01;Hydro;1.74
Germany;2020-07-01;Nuclear;4.23
Germany;2020-07-01;Other Fossil;2.06
Germany;2020-07-01;Solar;6.66
Germany;2020-07-01;Wind;6.99
Germany;2020-07-01;Wind and solar;13.65
Germany;2020-08-01;Bioenergy;3.37
Germany;2020-08-01;Clean;22.91
Germany;2020-08-01;Coal;9.97
Germany;2020-08-01;Fossil;19.21
Germany;2020-08-01;Gas;7.25
Germany;2020-08-01;Hydro;1.43
Germany;2020-08-01;Nuclear;5.59
Germany;2020-08-01;Other Fossil;1.99
Germany;2020-08-01;Solar;5.77
Germany;2020-08-01;Wind;6.75
Germany;2020-08-01;Wind and solar;12.52
Germany;2020-09-01;Bioenergy;3.34
Germany;2020-09-01;Clean;21.29
Germany;2020-09-01;Coal;12.14
Germany;2020-09-01;Fossil;21.55
Germany;2020-09-01;Gas;7.25
Germany;2020-09-01;Hydro;1.46
Germany;2020-09-01;Nuclear;5.29
Germany;2020-09-01;Other Fossil;2.16
Germany;2020-09-01;Solar;4.89
Germany;2020-09-01;Wind;6.31
Germany;2020-09-01;Wind and solar;11.2
Germany;2020-10-01;Bioenergy;3.63
Germany;2020-10-01;Clean;26.54
Germany;2020-10-01;Coal;13.05
Germany;2020-10-01;Fossil;22.74
Germany;2020-10-01;Gas;7.45
Germany;2020-10-01;Hydro;1.65
Germany;2020-10-01;Nuclear;5.13
Germany;2020-10-01;Other Fossil;2.24
Germany;2020-10-01;Solar;2.27
Germany;2020-10-01;Wind;13.86
Germany;2020-10-01;Wind and solar;16.13
Germany;2020-11-01;Bioenergy;3.63
Germany;2020-11-01;Clean;22.58
Germany;2020-11-01;Coal;14.81
Germany;2020-11-01;Fossil;26.31
Germany;2020-11-01;Gas;9.24
Germany;2020-11-01;Hydro;1.38
Germany;2020-11-01;Nuclear;4.79
Germany;2020-11-01;Other Fossil;2.26
Germany;2020-11-01;Solar;1.59
Germany;2020-11-01;Wind;11.19
Germany;2020-11-01;Wind and solar;12.78
Germany;2020-12-01;Bioenergy;3.83
Germany;2020-12-01;Clean;23.28
Germany;2020-12-01;Coal;14.02
Germany;2020-12-01;Fossil;25.78
Germany;2020-12-01;Gas;9.53
Germany;2020-12-01;Hydro;1.28
Germany;2020-12-01;Nuclear;5.84
Germany;2020-12-01;Other Fossil;2.23
Germany;2020-12-01;Solar;0.71
Germany;2020-12-01;Wind;11.62
Germany;2020-12-01;Wind and solar;12.33
Germany;2021-01-01;Bioenergy;3.74
Germany;2021-01-01;Clean;23.02
Germany;2021-01-01;Coal;15.98
Germany;2021-01-01;Fossil;27.76
Germany;2021-01-01;Gas;9.61
Germany;2021-01-01;Hydro;1.34
Germany;2021-01-01;Nuclear;5.93
Germany;2021-01-01;Other Fossil;2.17
Germany;2021-01-01;Solar;0.65
Germany;2021-01-01;Wind;11.36
Germany;2021-01-01;Wind and solar;12.01
Germany;2021-02-01;Bioenergy;3.39
Germany;2021-02-01;Clean;23.65
Germany;2021-02-01;Coal;11.59
Germany;2021-02-01;Fossil;22.45
Germany;2021-02-01;Gas;8.83
Germany;2021-02-01;Hydro;1.65
Germany;2021-02-01;Nuclear;5.39
Germany;2021-02-01;Other Fossil;2.03
Germany;2021-02-01;Solar;2.11
Germany;2021-02-01;Wind;11.11
Germany;2021-02-01;Wind and solar;13.22
Germany;2021-03-01;Bioenergy;3.63
Germany;2021-03-01;Clean;26.43
Germany;2021-03-01;Coal;11.71
Germany;2021-03-01;Fossil;23.38
Germany;2021-03-01;Gas;9.32
Germany;2021-03-01;Hydro;1.54
Germany;2021-03-01;Nuclear;5.5
Germany;2021-03-01;Other Fossil;2.35
Germany;2021-03-01;Solar;4.4
Germany;2021-03-01;Wind;11.36
Germany;2021-03-01;Wind and solar;15.76
Germany;2021-04-01;Bioenergy;3.48
Germany;2021-04-01;Clean;25.16
Germany;2021-04-01;Coal;10.61
Germany;2021-04-01;Fossil;20.78
Germany;2021-04-01;Gas;8.06
Germany;2021-04-01;Hydro;1.34
Germany;2021-04-01;Nuclear;5.12
Germany;2021-04-01;Other Fossil;2.11
Germany;2021-04-01;Solar;5.83
Germany;2021-04-01;Wind;9.39
Germany;2021-04-01;Wind and solar;15.22
Germany;2021-05-01;Bioenergy;3.51
Germany;2021-05-01;Clean;26.98
Germany;2021-05-01;Coal;7.98
Germany;2021-05-01;Fossil;15.92
Germany;2021-05-01;Gas;5.82
Germany;2021-05-01;Hydro;2
Germany;2021-05-01;Nuclear;5.23
Germany;2021-05-01;Other Fossil;2.12
Germany;2021-05-01;Solar;6.28
Germany;2021-05-01;Wind;9.96
Germany;2021-05-01;Wind and solar;16.24
Germany;2021-06-01;Bioenergy;3.22
Germany;2021-06-01;Clean;22.07
Germany;2021-06-01;Coal;10.89
Germany;2021-06-01;Fossil;19.38
Germany;2021-06-01;Gas;6.41
Germany;2021-06-01;Hydro;2
Germany;2021-06-01;Nuclear;4.93
Germany;2021-06-01;Other Fossil;2.08
Germany;2021-06-01;Solar;7.56
Germany;2021-06-01;Wind;4.36
Germany;2021-06-01;Wind and solar;11.92
Germany;2021-07-01;Bioenergy;3.27
Germany;2021-07-01;Clean;23.39
Germany;2021-07-01;Coal;10.49
Germany;2021-07-01;Fossil;18.43
Germany;2021-07-01;Gas;5.82
Germany;2021-07-01;Hydro;2.12
Germany;2021-07-01;Nuclear;5.52
Germany;2021-07-01;Other Fossil;2.12
Germany;2021-07-01;Solar;6.62
Germany;2021-07-01;Wind;5.86
Germany;2021-07-01;Wind and solar;12.48
Germany;2021-08-01;Bioenergy;3.26
Germany;2021-08-01;Clean;24.78
Germany;2021-08-01;Coal;10.67
Germany;2021-08-01;Fossil;17.31
Germany;2021-08-01;Gas;4.56
Germany;2021-08-01;Hydro;2.11
Germany;2021-08-01;Nuclear;5.77
Germany;2021-08-01;Other Fossil;2.08
Germany;2021-08-01;Solar;5.62
Germany;2021-08-01;Wind;8.02
Germany;2021-08-01;Wind and solar;13.64
Germany;2021-09-01;Bioenergy;3.22
Germany;2021-09-01;Clean;21.08
Germany;2021-09-01;Coal;15.08
Germany;2021-09-01;Fossil;23.01
Germany;2021-09-01;Gas;5.92
Germany;2021-09-01;Hydro;1.59
Germany;2021-09-01;Nuclear;5.46
Germany;2021-09-01;Other Fossil;2.01
Germany;2021-09-01;Solar;5.09
Germany;2021-09-01;Wind;5.72
Germany;2021-09-01;Wind and solar;10.81
Germany;2021-10-01;Bioenergy;3.51
Germany;2021-10-01;Clean;26.46
Germany;2021-10-01;Coal;13.98
Germany;2021-10-01;Fossil;21.91
Germany;2021-10-01;Gas;5.82
Germany;2021-10-01;Hydro;1.19
Germany;2021-10-01;Nuclear;5.34
Germany;2021-10-01;Other Fossil;2.11
Germany;2021-10-01;Solar;3.4
Germany;2021-10-01;Wind;13.02
Germany;2021-10-01;Wind and solar;16.42
Germany;2021-11-01;Bioenergy;3.55
Germany;2021-11-01;Clean;21.6
Germany;2021-11-01;Coal;16.47
Germany;2021-11-01;Fossil;27.52
Germany;2021-11-01;Gas;8.74
Germany;2021-11-01;Hydro;1.09
Germany;2021-11-01;Nuclear;5.56
Germany;2021-11-01;Other Fossil;2.31
Germany;2021-11-01;Solar;1.17
Germany;2021-11-01;Wind;10.23
Germany;2021-11-01;Wind and solar;11.4
Germany;2021-12-01;Bioenergy;3.74
Germany;2021-12-01;Clean;23.72
Germany;2021-12-01;Coal;15.91
Germany;2021-12-01;Fossil;26.71
Germany;2021-12-01;Gas;8.54
Germany;2021-12-01;Hydro;1.49
Germany;2021-12-01;Nuclear;5.66
Germany;2021-12-01;Other Fossil;2.26
Germany;2021-12-01;Solar;0.75
Germany;2021-12-01;Wind;12.08
Germany;2021-12-01;Wind and solar;12.83
Germany;2022-01-01;Bioenergy;3.97
Germany;2022-01-01;Clean;25.38
Germany;2022-01-01;Coal;15.73
Germany;2022-01-01;Fossil;27.04
Germany;2022-01-01;Gas;8.89
Germany;2022-01-01;Hydro;1.56
Germany;2022-01-01;Nuclear;2.9
Germany;2022-01-01;Other Fossil;2.42
Germany;2022-01-01;Solar;1.27
Germany;2022-01-01;Wind;15.68
Germany;2022-01-01;Wind and solar;16.95
Germany;2022-02-01;Bioenergy;3.59
Germany;2022-02-01;Clean;30.6
Germany;2022-02-01;Coal;11.39
Germany;2022-02-01;Fossil;20.34
Germany;2022-02-01;Gas;6.72
Germany;2022-02-01;Hydro;1.55
Germany;2022-02-01;Nuclear;2.69
Germany;2022-02-01;Other Fossil;2.23
Germany;2022-02-01;Solar;2.64
Germany;2022-02-01;Wind;20.13
Germany;2022-02-01;Wind and solar;22.77
Germany;2022-03-01;Bioenergy;3.85
Germany;2022-03-01;Clean;21.78
Germany;2022-03-01;Coal;16.8
Germany;2022-03-01;Fossil;27.5
Germany;2022-03-01;Gas;8.23
Germany;2022-03-01;Hydro;1.34
Germany;2022-03-01;Nuclear;2.96
Germany;2022-03-01;Other Fossil;2.47
Germany;2022-03-01;Solar;5.78
Germany;2022-03-01;Wind;7.85
Germany;2022-03-01;Wind and solar;13.63
Germany;2022-04-01;Bioenergy;3.7
Germany;2022-04-01;Clean;25.41
Germany;2022-04-01;Coal;12.76
Germany;2022-04-01;Fossil;20.99
Germany;2022-04-01;Gas;6.06
Germany;2022-04-01;Hydro;1.56
Germany;2022-04-01;Nuclear;2.86
Germany;2022-04-01;Other Fossil;2.17
Germany;2022-04-01;Solar;6.17
Germany;2022-04-01;Wind;11.12
Germany;2022-04-01;Wind and solar;17.29
Germany;2022-05-01;Bioenergy;3.73
Germany;2022-05-01;Clean;23.3
Germany;2022-05-01;Coal;11.7
Germany;2022-05-01;Fossil;19.56
Germany;2022-05-01;Gas;5.77
Germany;2022-05-01;Hydro;1.71
Germany;2022-05-01;Nuclear;2.25
Germany;2022-05-01;Other Fossil;2.09
Germany;2022-05-01;Solar;7.93
Germany;2022-05-01;Wind;7.68
Germany;2022-05-01;Wind and solar;15.61
Germany;2022-06-01;Bioenergy;3.41
Germany;2022-06-01;Clean;21.02
Germany;2022-06-01;Coal;12.45
Germany;2022-06-01;Fossil;19.92
Germany;2022-06-01;Gas;5.49
Germany;2022-06-01;Hydro;1.66
Germany;2022-06-01;Nuclear;2.16
Germany;2022-06-01;Other Fossil;1.98
Germany;2022-06-01;Solar;8.32
Germany;2022-06-01;Wind;5.47
Germany;2022-06-01;Wind and solar;13.79
Germany;2022-07-01;Bioenergy;3.47
Germany;2022-07-01;Clean;23.01
Germany;2022-07-01;Coal;12.99
Germany;2022-07-01;Fossil;20.11
Germany;2022-07-01;Gas;5.11
Germany;2022-07-01;Hydro;1.3
Germany;2022-07-01;Nuclear;2.92
Germany;2022-07-01;Other Fossil;2.01
Germany;2022-07-01;Solar;8.22
Germany;2022-07-01;Wind;7.1
Germany;2022-07-01;Wind and solar;15.32
Germany;2022-08-01;Bioenergy;3.46
Germany;2022-08-01;Clean;19.66
Germany;2022-08-01;Coal;14.34
Germany;2022-08-01;Fossil;21.66
Germany;2022-08-01;Gas;5.39
Germany;2022-08-01;Hydro;1.15
Germany;2022-08-01;Nuclear;2.94
Germany;2022-08-01;Other Fossil;1.93
Germany;2022-08-01;Solar;7.54
Germany;2022-08-01;Wind;4.57
Germany;2022-08-01;Wind and solar;12.11
Germany;2022-09-01;Bioenergy;3.42
Germany;2022-09-01;Clean;20.38
Germany;2022-09-01;Coal;14.65
Germany;2022-09-01;Fossil;21.52
Germany;2022-09-01;Gas;4.92
Germany;2022-09-01;Hydro;1.32
Germany;2022-09-01;Nuclear;2.89
Germany;2022-09-01;Other Fossil;1.95
Germany;2022-09-01;Solar;4.89
Germany;2022-09-01;Wind;7.86
Germany;2022-09-01;Wind and solar;12.75
Germany;2022-10-01;Bioenergy;3.71
Germany;2022-10-01;Clean;22.45
Germany;2022-10-01;Coal;12.42
Germany;2022-10-01;Fossil;20.08
Germany;2022-10-01;Gas;5.68
Germany;2022-10-01;Hydro;1.6
Germany;2022-10-01;Nuclear;2.66
Germany;2022-10-01;Other Fossil;1.98
Germany;2022-10-01;Solar;3.72
Germany;2022-10-01;Wind;10.76
Germany;2022-10-01;Wind and solar;14.48
Germany;2022-11-01;Bioenergy;3.71
Germany;2022-11-01;Clean;22.29
Germany;2022-11-01;Coal;14.88
Germany;2022-11-01;Fossil;23.08
Germany;2022-11-01;Gas;6.15
Germany;2022-11-01;Hydro;1.32
Germany;2022-11-01;Nuclear;2.83
Germany;2022-11-01;Other Fossil;2.05
Germany;2022-11-01;Solar;1.86
Germany;2022-11-01;Wind;12.57
Germany;2022-11-01;Wind and solar;14.43
Germany;2022-12-01;Bioenergy;3.91
Germany;2022-12-01;Clean;20.5
Germany;2022-12-01;Coal;15.9
Germany;2022-12-01;Fossil;26.04
Germany;2022-12-01;Gas;8.04
Germany;2022-12-01;Hydro;1.41
Germany;2022-12-01;Nuclear;2.71
Germany;2022-12-01;Other Fossil;2.1
Germany;2022-12-01;Solar;0.78
Germany;2022-12-01;Wind;11.69
Germany;2022-12-01;Wind and solar;12.47
Germany;2023-01-01;Bioenergy;3.75
Germany;2023-01-01;Clean;25.01
Germany;2023-01-01;Coal;14.58
Germany;2023-01-01;Fossil;24.41
Germany;2023-01-01;Gas;7.65
Germany;2023-01-01;Hydro;1.52
Germany;2023-01-01;Nuclear;1.74
Germany;2023-01-01;Other Fossil;2.18
Germany;2023-01-01;Solar;1.47
Germany;2023-01-01;Wind;16.53
Germany;2023-01-01;Wind and solar;18
Germany;2023-02-01;Bioenergy;3.4
Germany;2023-02-01;Clean;20.78
Germany;2023-02-01;Coal;14.44
Germany;2023-02-01;Fossil;24.23
Germany;2023-02-01;Gas;7.75
Germany;2023-02-01;Hydro;1.21
Germany;2023-02-01;Nuclear;1.92
Germany;2023-02-01;Other Fossil;2.04
Germany;2023-02-01;Solar;2.74
Germany;2023-02-01;Wind;11.51
Germany;2023-02-01;Wind and solar;14.25
Germany;2023-03-01;Bioenergy;3.64
Germany;2023-03-01;Clean;25.26
Germany;2023-03-01;Coal;11.84
Germany;2023-03-01;Fossil;21.34
Germany;2023-03-01;Gas;7.26
Germany;2023-03-01;Hydro;1.58
Germany;2023-03-01;Nuclear;2.17
Germany;2023-03-01;Other Fossil;2.24
Germany;2023-03-01;Solar;4.11
Germany;2023-03-01;Wind;13.76
Germany;2023-03-01;Wind and solar;17.87
Germany;2023-04-01;Bioenergy;3.5
Germany;2023-04-01;Clean;21.75
Germany;2023-04-01;Coal;10.29
Germany;2023-04-01;Fossil;18.35
Germany;2023-04-01;Gas;6.1
Germany;2023-04-01;Hydro;1.87
Germany;2023-04-01;Nuclear;0.99
Germany;2023-04-01;Other Fossil;1.96
Germany;2023-04-01;Solar;5.78
Germany;2023-04-01;Wind;9.61
Germany;2023-04-01;Wind and solar;15.39
Germany;2023-05-01;Bioenergy;3.54
Germany;2023-05-01;Clean;21.67
Germany;2023-05-01;Coal;7.22
Germany;2023-05-01;Fossil;14.55
Germany;2023-05-01;Gas;5.33
Germany;2023-05-01;Hydro;2.14
Germany;2023-05-01;Nuclear;0
Germany;2023-05-01;Other Fossil;2
Germany;2023-05-01;Solar;8.13
Germany;2023-05-01;Wind;7.86
Germany;2023-05-01;Wind and solar;15.99
Germany;2023-06-01;Bioenergy;3.24
Germany;2023-06-01;Clean;19.36
Germany;2023-06-01;Coal;7.42
Germany;2023-06-01;Fossil;14.52
Germany;2023-06-01;Gas;5.33
Germany;2023-06-01;Hydro;1.46
Germany;2023-06-01;Nuclear;0
Germany;2023-06-01;Other Fossil;1.77
Germany;2023-06-01;Solar;8.91
Germany;2023-06-01;Wind;5.75
Germany;2023-06-01;Wind and solar;14.66
Germany;2023-07-01;Bioenergy;3.31
Germany;2023-07-01;Clean;22.19
Germany;2023-07-01;Coal;6.28
Germany;2023-07-01;Fossil;13.34
Germany;2023-07-01;Gas;5.13
Germany;2023-07-01;Hydro;1.36
Germany;2023-07-01;Nuclear;0
Germany;2023-07-01;Other Fossil;1.93
Germany;2023-07-01;Solar;7.93
Germany;2023-07-01;Wind;9.59
Germany;2023-07-01;Wind and solar;17.52
Germany;2023-08-01;Bioenergy;3.3
Germany;2023-08-01;Clean;18.54
Germany;2023-08-01;Coal;7.72
Germany;2023-08-01;Fossil;15.06
Germany;2023-08-01;Gas;5.42
Germany;2023-08-01;Hydro;1.74
Germany;2023-08-01;Nuclear;0
Germany;2023-08-01;Other Fossil;1.92
Germany;2023-08-01;Solar;6.85
Germany;2023-08-01;Wind;6.65
Germany;2023-08-01;Wind and solar;13.5
Germany;2023-09-01;Bioenergy;3.28
Germany;2023-09-01;Clean;17.89
Germany;2023-09-01;Coal;9.02
Germany;2023-09-01;Fossil;15.99
Germany;2023-09-01;Gas;5.04
Germany;2023-09-01;Hydro;1.42
Germany;2023-09-01;Nuclear;0
Germany;2023-09-01;Other Fossil;1.93
Germany;2023-09-01;Solar;6.85
Germany;2023-09-01;Wind;6.34
Germany;2023-09-01;Wind and solar;13.19
Germany;2023-10-01;Bioenergy;3.56
Germany;2023-10-01;Clean;22
Germany;2023-10-01;Coal;10.05
Germany;2023-10-01;Fossil;18.05
Germany;2023-10-01;Gas;5.91
Germany;2023-10-01;Hydro;1.03
Germany;2023-10-01;Nuclear;0
Germany;2023-10-01;Other Fossil;2.09
Germany;2023-10-01;Solar;3.82
Germany;2023-10-01;Wind;13.59
Germany;2023-10-01;Wind and solar;17.41
Germany;2023-11-01;Bioenergy;3.56
Germany;2023-11-01;Clean;23.27
Germany;2023-11-01;Coal;11.49
Germany;2023-11-01;Fossil;20.42
Germany;2023-11-01;Gas;6.88
Germany;2023-11-01;Hydro;1.83
Germany;2023-11-01;Nuclear;0
Germany;2023-11-01;Other Fossil;2.05
Germany;2023-11-01;Solar;2.06
Germany;2023-11-01;Wind;15.82
Germany;2023-11-01;Wind and solar;17.88
Germany;2023-12-01;Bioenergy;3.75
Germany;2023-12-01;Clean;25.42
Germany;2023-12-01;Coal;11.12
Germany;2023-12-01;Fossil;20.24
Germany;2023-12-01;Gas;7.26
Germany;2023-12-01;Hydro;2.16
Germany;2023-12-01;Nuclear;0
Germany;2023-12-01;Other Fossil;1.86
Germany;2023-12-01;Solar;1.37
Germany;2023-12-01;Wind;18.14
Germany;2023-12-01;Wind and solar;19.51
Germany;2024-01-01;Bioenergy;3.79
Germany;2024-01-01;Clean;25.39
Germany;2024-01-01;Coal;10.99
Germany;2024-01-01;Fossil;21.88
Germany;2024-01-01;Gas;8.79
Germany;2024-01-01;Hydro;1.84
Germany;2024-01-01;Nuclear;0
Germany;2024-01-01;Other Fossil;2.1
Germany;2024-01-01;Solar;1.97
Germany;2024-01-01;Wind;17.79
Germany;2024-01-01;Wind and solar;19.76
Germany;2024-02-01;Bioenergy;3.54
Germany;2024-02-01;Clean;23.98
Germany;2024-02-01;Coal;8.89
Germany;2024-02-01;Fossil;17.9
Germany;2024-02-01;Gas;7.15
Germany;2024-02-01;Hydro;1.66
Germany;2024-02-01;Nuclear;0
Germany;2024-02-01;Other Fossil;1.86
Germany;2024-02-01;Solar;2.75
Germany;2024-02-01;Wind;16.03
Germany;2024-02-01;Wind and solar;18.78
Germany;2024-03-01;Bioenergy;3.83
Germany;2024-03-01;Clean;22.02
Germany;2024-03-01;Coal;8.87
Germany;2024-03-01;Fossil;17.85
Germany;2024-03-01;Gas;7.24
Germany;2024-03-01;Hydro;1.69
Germany;2024-03-01;Nuclear;0
Germany;2024-03-01;Other Fossil;1.74
Germany;2024-03-01;Solar;5.11
Germany;2024-03-01;Wind;11.39
Germany;2024-03-01;Wind and solar;16.5
Germany;2024-04-01;Bioenergy;3.58
Germany;2024-04-01;Clean;23.21
Germany;2024-04-01;Coal;5.93
Germany;2024-04-01;Fossil;13.85
Germany;2024-04-01;Gas;6.37
Germany;2024-04-01;Hydro;1.84
Germany;2024-04-01;Nuclear;0
Germany;2024-04-01;Other Fossil;1.55
Germany;2024-04-01;Solar;6.68
Germany;2024-04-01;Wind;11.11
Germany;2024-04-01;Wind and solar;17.79
Germany;2024-05-01;Bioenergy;3.6
Germany;2024-05-01;Clean;22.35
Germany;2024-05-01;Coal;6.02
Germany;2024-05-01;Fossil;13.47
Germany;2024-05-01;Gas;5.89
Germany;2024-05-01;Hydro;2.26
Germany;2024-05-01;Nuclear;0
Germany;2024-05-01;Other Fossil;1.56
Germany;2024-05-01;Solar;9.14
Germany;2024-05-01;Wind;7.35
Germany;2024-05-01;Wind and solar;16.49
Germany;2024-06-01;Bioenergy;3.35
Germany;2024-06-01;Clean;21.85
Germany;2024-06-01;Coal;6.6
Germany;2024-06-01;Fossil;13.35
Germany;2024-06-01;Gas;5.41
Germany;2024-06-01;Hydro;2.21
Germany;2024-06-01;Nuclear;0
Germany;2024-06-01;Other Fossil;1.34
Germany;2024-06-01;Solar;9.43
Germany;2024-06-01;Wind;6.86
Germany;2024-06-01;Wind and solar;16.29
Germany;2024-07-01;Bioenergy;3.38
Germany;2024-07-01;Clean;22.98
Germany;2024-07-01;Coal;6.76
Germany;2024-07-01;Fossil;13.52
Germany;2024-07-01;Gas;5.14
Germany;2024-07-01;Hydro;2.48
Germany;2024-07-01;Nuclear;0
Germany;2024-07-01;Other Fossil;1.62
Germany;2024-07-01;Solar;10.27
Germany;2024-07-01;Wind;6.85
Germany;2024-07-01;Wind and solar;17.12
Germany;2024-08-01;Bioenergy;3.34
Germany;2024-08-01;Clean;21.43
Germany;2024-08-01;Coal;7.3
Germany;2024-08-01;Fossil;14.27
Germany;2024-08-01;Gas;5.31
Germany;2024-08-01;Hydro;2.07
Germany;2024-08-01;Nuclear;0
Germany;2024-08-01;Other Fossil;1.66
Germany;2024-08-01;Solar;9.74
Germany;2024-08-01;Wind;6.28
Germany;2024-08-01;Wind and solar;16.02
Germany;2024-09-01;Bioenergy;3.24
Germany;2024-09-01;Clean;22.29
Germany;2024-09-01;Coal;7.59
Germany;2024-09-01;Fossil;14.24
Germany;2024-09-01;Gas;4.96
Germany;2024-09-01;Hydro;1.87
Germany;2024-09-01;Nuclear;0
Germany;2024-09-01;Other Fossil;1.69
Germany;2024-09-01;Solar;6.99
Germany;2024-09-01;Wind;10.19
Germany;2024-09-01;Wind and solar;17.18
