country_or_region;date;variable;generation_twh
Germany;2016-01-01;Nuclear;7.83
Germany;2016-01-01;Other Fossil;1.91
Germany;2016-01-01;Solar;0.7
Germany;2016-01-01;Wind;9.63
Germany;2016-01-01;Wind and solar;10.33
Germany;2016-02-01;Bioenergy;3.63
Germany;2016-02-01;Clean;23.97
Germany;2016-02-01;Coal;20.16
Germany;2016-02-01;Fossil;27.48
Germany;2016-02-01;Gas;5.47
Germany;2016-02-01;Hydro;1.53
Germany;2016-02-01;Nuclear;7.23
Germany;2016-02-01;Other Fossil;1.85
Germany;2016-02-01;Solar;1.34
Germany;2016-02-01;Wind;10.24
Germany;2016-02-01;Wind and solar;11.58
Germany;2016-03-01;Bioenergy;3.87
Germany;2016-03-01;Clean;21.73
Germany;2016-03-01;Coal;22.29
Germany;2016-03-01;Fossil;28.88
Germany;2016-03-01;Gas;4.89
Germany;2016-03-01;Hydro;1.37
Germany;2016-03-01;Nuclear;7.69
Germany;2016-03-01;Other Fossil;1.7
Germany;2016-03-01;Solar;2.57
Germany;2016-03-01;Wind;6.23
Germany;2016-03-01;Wind and solar;8.8
Germany;2016-04-01;Bioenergy;3.76
Germany;2016-04-01;Clean;21.05
Germany;2016-04-01;Coal;19.84
Germany;2016-04-01;Fossil;24.89
Germany;2016-04-01;Gas;3.67
Germany;2016-04-01;Hydro;1.77
Germany;2016-04-01;Nuclear;5.4
Germany;2016-04-01;Other Fossil;1.38
Germany;2016-04-01;Solar;4
Germany;2016-04-01;Wind;6.12
Germany;2016-04-01;Wind and solar;10.12
Germany;2016-05-01;Bioenergy;3.89
Germany;2016-05-01;Clean;22.02
Germany;2016-05-01;Coal;17.24
Germany;2016-05-01;Fossil;22.7
Germany;2016-05-01;Gas;3.86
Germany;2016-05-01;Hydro;2.19
Germany;2016-05-01;Nuclear;4.55
Germany;2016-05-01;Other Fossil;1.6
Germany;2016-05-01;Solar;5.03
Germany;2016-05-01;Wind;6.36
Germany;2016-05-01;Wind and solar;11.39
Germany;2016-06-01;Bioenergy;3.77
Germany;2016-06-01;Clean;20.48
Germany;2016-06-01;Coal;17.63
Germany;2016-06-01;Fossil;22.69
Germany;2016-06-01;Gas;3.63
Germany;2016-06-01;Hydro;2.19
Germany;2016-06-01;Nuclear;5.99
Germany;2016-06-01;Other Fossil;1.43
Germany;2016-06-01;Solar;5.05
Germany;2016-06-01;Wind;3.48
Germany;2016-06-01;Wind and solar;8.53
Germany;2016-07-01;Bioenergy;3.9
Germany;2016-07-01;Clean;22.58
Germany;2016-07-01;Coal;17.49
Germany;2016-07-01;Fossil;22.84
Germany;2016-07-01;Gas;3.74
Germany;2016-07-01;Hydro;2.41
Germany;2016-07-01;Nuclear;6.16
Germany;2016-07-01;Other Fossil;1.61
Germany;2016-07-01;Solar;5.27
Germany;2016-07-01;Wind;4.84
Germany;2016-07-01;Wind and solar;10.11
Germany;2016-08-01;Bioenergy;3.9
Germany;2016-08-01;Clean;23.04
Germany;2016-08-01;Coal;16.83
Germany;2016-08-01;Fossil;24.34
Germany;2016-08-01;Gas;5.74
Germany;2016-08-01;Hydro;2.29
Germany;2016-08-01;Nuclear;6.88
Germany;2016-08-01;Other Fossil;1.77
Germany;2016-08-01;Solar;5.03
Germany;2016-08-01;Wind;4.94
Germany;2016-08-01;Wind and solar;9.97
Germany;2016-09-01;Bioenergy;3.78
Germany;2016-09-01;Clean;20.87
Germany;2016-09-01;Coal;19.16
Germany;2016-09-01;Fossil;28.35
Germany;2016-09-01;Gas;7.73
Germany;2016-09-01;Hydro;1.73
Germany;2016-09-01;Nuclear;6.93
Germany;2016-09-01;Other Fossil;1.46
Germany;2016-09-01;Solar;4.1
Germany;2016-09-01;Wind;4.33
